item_name,descriptor,notes 
"Bagel, Breakfast",Each,
"Bagel, Lunch",Each,
Brown Rice,Servings,
Corn Tortilla,Each,
Couscous,oz,
Flour Tortilla- Flavored,Each,
Flour Tortilla- Large,Each,
Flour Tortilla- Small,Each,
Minute Rice,Servings,
"Pasta, Egg Noodles",Servings,
"Pasta, Farfalle (Bow Tie)",Servings,
"Pasta, Fettuccine (Big Flat)",Servings,
"Pasta, Linguine (Flat Spegetti)",Servings,
"Pasta, Macaroni (Elbow)",Servings,
"Pasta, No Bake Lasagna",Box,
"Pasta, Orecchiette (Shell)",Servings,
"Pasta, Orzo",Servings,
"Pasta, Penne (Tubes)",Servings,
"Pasta, Rice Noodles",Servings,
"Pasta, Rotini (Spiral)",Servings,
"Pasta, Spagettii",Servings,
"Pasta, Tortallini (Stuffed)",Servings,
Quinoia,oz,
Ramen Noodle Soup,Package,1 Package has 2 servings
Sandwhich Bread,Slice,
White Rice,Servings,
