item_name,descriptor,notes 
Anchovy,,
"Asoaragus, Cut Spear ",,
"Asparagus, Cut",,
"Asparagus, Tips ",,
"Asparagus, Whole Spears",,
"Beets, Sliced ",,
Black Beans,oz or cans???,1 can has 15.5 oz or 3.5 servings
Canned diced tomatoes,oz,
Carrots,,
"Carrots, Sliced ",,
"Chicken, Canned",oz,
"Clam, Canned",,
Corn,,
"Corn, Fiesta ",,
Cut Green Spinach,,
"Green Beans, Cut Lg",,
"Green Beans, Cut Rg",,
"Green Beans, French Style ",,
"Green Beans, Italian ",,
"Mushroom, Stem and pieces ",,
"Oyster, Canned",,
Pasta Sauce,servings or oz???,
Peas,,
"Peas, Sweet",,
"Peppers, Green",,
"Peppers, Green Sliced",,
"Peppers, Red",,
"Peppers, Red Diced",,
"Peppers, Red Sliced",,
"Potatoe, Sweet",,
"Pumpkin, Organic ",,
Puree,,
"Salmon, Canned",oz,
"Salmon, Packet",oz,
Sardines,,
Sardines ,,
Shoestring Beets,,
"Spinach, Cut",,
"Spinach, Leaf",,
"Squash, butternut",,
Sweet Peas Rg,,
Sweet Peas Rg,,
"Tomato, Crushed ",,
"Tomato, Diced ",,
"Tomato, Lg",,
"Tomato, Paste ",,
"Tomato, Peeled ",,
"Tomato, petite",,
"Tomato, petite diced  ",,
"Tomato, Rg",,
"Tuna, canned",oz,
"Tuna, packet",each,2.6 oz
Turnip Greens ,,
Whole Kernel Corn,,
