item_name,descriptor,notes 
"Block Cheese, Colby Jack",oz,
"Block Cheese, Extra Sharp Cheddar",oz,
"Block Cheese, Gouda",oz,
"Block Cheese, Havarti",oz,
"Block Cheese, Medium Cheddar",oz,
"Block Cheese, Mild Cheddar",oz,
"Block Cheese, Monterey Jack",oz,
"Block Cheese, Mozzarella",oz,
"Block Cheese, Muenster",oz,
"Block Cheese, Oaxaca, Mexican",oz,
"Block Cheese, Pepper Jack",oz,
"Block Cheese, Provolone",oz,
"Block Cheese, Sharp Cheddar",oz,
"Block Cheese, Smoked Gouda",oz,
"Block Cheese, Smoked Provolone",oz,
"Block Cheese, Swiss",oz,
"Block Cheese, White Cheddar",oz,
"Butter, Salted",oz,1 Stick of Butter has 8 Tbls.
"Butter, Unsalted",,1 Stick of Butter has 8 Tbls.
Cottage Cheese,oz,
"Cream Cheese, Flavored",oz,
"Cream Cheese, Plain",oz,
"Cream Cheese, Whipped",oz,
"Crumble Cheese, Blue",oz,
"Crumble Cheese, Feta",oz,
"Crumble Cheese, Gorgonzola",oz,
"Crumble Cheese, Queso Fresco",oz,
"Crumble Cheese, Ricotta",oz,
"Milk, 1 %",oz,
"Milk, 2 %",oz,
"Milk, Almond",oz,
"Milk, Butter",,
"Milk, Cashew",oz,
"Milk, Powdered",oz,
"Milk, Skim",oz,
"Milk, Soy",oz,
"Milk, Whole",oz,
Other,,
"Shredded Cheese, Asiago",oz,
"Shredded Cheese, Colby Jack",oz,
"Shredded Cheese, Gouda",oz,
"Shredded Cheese, Italian Blend",oz,
"Shredded Cheese, Medium Cheddar",oz,
"Shredded Cheese, Mexican",oz,
"Shredded Cheese, Mild Cheddar",oz,
"Shredded Cheese, Monterey Jack",oz,
"Shredded Cheese, Mozzarella",oz,
"Shredded Cheese, Parmesan",oz,
"Shredded Cheese, Pepper Jack",oz,
"Shredded Cheese, Romano",oz,
"Shredded Cheese, Sharp Cheddar",oz,
"Shredded Cheese, Smoked Gouda",oz,
"Shredded Cheese, Spicy",oz,
"Shredded Cheese, White Cheddar",oz,
"Sliced Cheese, Baby Swiss",Slices,
"Sliced Cheese, Colby Jack",Slices,
"Sliced Cheese, Gouda",Slices,
"Sliced Cheese, Havarti",Slices,
"Sliced Cheese, Medium Cheddar",Slices,
"Sliced Cheese, Mild Cheddar",Slices,
"Sliced Cheese, Muenster",Slices,
"Sliced Cheese, Pepper Jack",Slices,
"Sliced Cheese, Provolone",Slices,
"Sliced Cheese, Sharp Cheddar",Slices,
"Sliced Cheese, Smoked Gouda",Slices,
"Sliced Cheese, Smoked Provolone",Slices,
"Sliced Cheese, Swiss",Slices,2 slices is 1 serving
"Sliced Cheese, White Cheddar",Slices,
Sour Cream,oz,
"Yogurt, Flavored",oz,
"Yogurt, Greek",oz,
"Yogurt, Plain",,
