item_name,descriptor,notes 
"Apple, Fuji",Each,
"Apple, Gala",Each,
"Apple, Golden Delicious",Each,
"Apple, Granny Smith",Each,
"Apple, Honey Crisp",Each,
"Apple, Pink Lady",Each,
"Apple, Red",Each,
Apricot,Each,
Artichoke,Each,
Asparagus,lbs,
Avacado,Each,
Banana,Each,
Basil,Package,
"Bean, Grean",oz,
"Bean, Snow",oz,
"Bean, Sugar Snap",oz,
"Bell Pepper, Green",Each,
"Bell Pepper, Orange",Each,
"Bell Pepper, Red",Each,
"Bell Pepper, Yellow",Each,
"Berry, Black",package,
"Berry, Blue",package,
"Berry, Elder",package,
"Berry, Rasp",package,
Bok Choy,each,
Broccoli,bundle,
Brussel Sprouts,oz / lbs,
"Cabbage, Green",Each,
"Cabbage, Napa",Each,
"Cabbage, Red, Purple",Each,
"Califlower, White",,
Cilantro,bundle,
"Cucumber, English",Each,
"Cucumber, Green Burpless",Each,
Grapefruit,Each,
"Lettuce, Arugula",oz / lbs,
"Lettuce, Chard",oz / lbs,
"Lettuce, Green Leaf",,
"Lettuce, Iceberg",,
"Lettuce, Kale",oz / lbs,
"Lettuce, Red Leaf ",oz / lbs,
"Lettuce, Spinach",oz / lbs,
"Melon, Canary",Each,
"Melon, Cantalope",Each,
"Melon, Honeydew",Each,
"Melon, Israeli ",Each,
"Melon, Watermelon",Each,
"Mushrooms, Botton",lbs,
"Mushrooms, Chanterelle",lbs,
"Mushrooms, Crimini",lbs,
"Mushrooms, Enokitake",lbs,
"Mushrooms, Maitake",lbs,
"Mushrooms, Oyster",lbs,
"Mushrooms, Porcini",lbs,
"Mushrooms, Portobello",lbs,
"Mushrooms, Shiitake",lbs,
"Onion, Green",each,
"Onion, Leek",each,
"Onion, Red",each,
"Onion, Shallot",each,
"Onion, Sweet",each,
"Onion, White",each,
"Onion, Yellow",each,
"Orange, Blood",Each,
"Orange, Cara Cara",Each,
"Orange, Mandarin",Each,
"Orange, Navel",Each,
"Orange, Valencia",Each,
Other,,
"Parsley, Flat leaf",bundle,
"Parsley, Italian",bundle,
Peach,Each,
"Pear, Asian",Each,
"Pear, Bartlett",Each,
"Pear, D'Anjou",Each,
"Pear, Red",Each,
"Pear, Williams",Each,
"Pepper, Anaheim",Each,
"Pepper, Habanero",Each,
"Pepper, Jalapeno",,
"Pepper, Poblano",Each,
"Pepper, Serrano",Each,
Pineapple,Each,
Plum,Each,
"Potato, Fingerling",lbs,
"Potato, Red",lbs,
"Potato, Russet",lbs,
"Potato, Sweet",lbs,
"Potato, White Sweet",lbs,
"Potato, Yam",lbs,
"Potato, Yukon",lbs,
Radish,bundle,
Sprouts,Package,
"Squash, Butternut",lbs,
"Squash, Other",,
"Squash, Yellow",lbs,
"Squash, Zucchinni",lbs,
"Tomato, Beef steak",lbs,
"Tomato, Cherry",lbs,
"Tomato, Heirloom",lbs,
"Tomato, Roma",lbs,
